code,ticker,company,price,market_cap_bil,volume_ratio,return_5d,return_20d,return_60d,above_ma20,distance_52w_high,forecast_revision,sales_growth,profit_growth,consecutive_growth_years,record_profit,dividend_yield,payout_ratio,equity_ratio,free_cash_flow_bil,dividend_cuts_5y,operating_margin,roe,data_status,updated_at
1605,1605.T,INPEX,3250,4760,1.8,4.2,8.4,17.1,True,-3.8,8.0,12.0,18.0,3,True,3.8,35,58,410,0,24,11,見本,2026-09-20
2914,2914.T,日本たばこ産業,5050,10000,1.2,1.5,5.0,9.0,True,-2.5,0,6.0,8.0,2,True,4.8,72,52,320,0,27,13,見本,2026-09-20
4063,4063.T,信越化学工業,6100,12100,1.6,3.0,7.5,12.0,True,-4.0,5,9,13,4,True,2.1,40,82,580,0,32,14,見本,2026-09-20
5401,5401.T,日本製鉄,3550,3570,2.5,6.5,12.0,15.0,True,-1.8,12,8,22,2,True,4.5,32,47,350,0,9,10,見本,2026-09-20
6501,6501.T,日立製作所,4250,19600,1.7,4.0,11.0,24.0,True,-1.0,7,14,19,5,True,1.4,28,43,660,0,12,13,見本,2026-09-20
7011,7011.T,三菱重工業,4050,13600,3.2,9.0,18.0,35.0,True,-0.5,15,16,28,4,True,0.7,24,34,290,0,8,12,見本,2026-09-20
7203,7203.T,トヨタ自動車,3250,48500,1.4,2.0,6.0,10.0,True,-5.0,4,7,9,3,True,3.1,30,40,2450,0,10,13,見本,2026-09-20
8058,8058.T,三菱商事,3380,13900,1.5,3.5,9.0,14.0,True,-2.0,10,11,16,4,True,3.4,35,42,1200,0,15,15,見本,2026-09-20
8306,8306.T,三菱UFJフィナンシャル・グループ,2380,28900,2.2,5.0,13.0,21.0,True,-1.5,10,9,20,4,True,2.9,38,6,980,0,32,12,見本,2026-09-20
8591,8591.T,オリックス,4100,4700,1.3,1.8,5.5,11.0,True,-4.5,3,8,10,5,True,3.0,36,24,420,0,14,9,見本,2026-09-20
8766,8766.T,東京海上ホールディングス,6350,12600,1.9,4.5,10.5,20.0,True,-2.2,8,10,17,4,True,2.8,42,12,520,0,18,15,見本,2026-09-20
9432,9432.T,日本電信電話,170,16400,1.1,-0.5,2.0,3.5,True,-8.0,0,3,5,5,True,3.1,40,36,890,0,16,13,見本,2026-09-20
9433,9433.T,KDDI,2750,11600,1.2,1.0,4.0,7.0,True,-6.0,2,4,7,5,True,2.9,43,45,550,0,19,14,見本,2026-09-20
9503,9503.T,関西電力,2350,2220,2.8,7.5,14.0,19.0,True,-1.2,18,9,30,2,True,2.6,25,29,310,1,11,10,見本,2026-09-20
3687,3687.T,フィックスターズ,2150,72,3.5,10.0,20.0,28.0,True,-0.8,20,22,35,5,True,0.6,20,70,3,0,25,26,見本,2026-09-20
3696,3696.T,セレス,2800,34,2.7,8.0,15.0,26.0,True,-2.0,15,18,32,3,True,1.8,22,56,5,0,20,18,見本,2026-09-20
5803,5803.T,フジクラ,11500,3400,3.1,12.0,25.0,48.0,True,-0.3,25,28,45,4,True,0.9,18,46,95,0,17,25,見本,2026-09-20
6857,6857.T,アドバンテスト,16800,12800,2.4,9.0,22.0,40.0,True,-1.0,22,35,55,4,True,0.5,22,65,180,0,30,35,見本,2026-09-20
3350,3350.T,メタプラネット,980,520,4.2,-8.0,-15.0,30.0,False,-38.0,,120,-40,0,False,0,0,18,-12,0,-5,-8,見本,2026-09-20
7751,7751.T,キヤノン,4850,6450,1.0,0.5,2.5,5.0,True,-9.0,0,4,3,2,False,3.3,55,62,390,0,12,9,見本,2026-09-20
