code,ticker,company
1605,1605.T,INPEX
1802,1802.T,大林組
1928,1928.T,積水ハウス
2914,2914.T,日本たばこ産業
3407,3407.T,旭化成
4063,4063.T,信越化学工業
4502,4502.T,武田薬品工業
5020,5020.T,ENEOSホールディングス
5108,5108.T,ブリヂストン
5401,5401.T,日本製鉄
6301,6301.T,小松製作所
6501,6501.T,日立製作所
6503,6503.T,三菱電機
6702,6702.T,富士通
6758,6758.T,ソニーグループ
6861,6861.T,キーエンス
7011,7011.T,三菱重工業
7203,7203.T,トヨタ自動車
7267,7267.T,本田技研工業
7751,7751.T,キヤノン
8031,8031.T,三井物産
8053,8053.T,住友商事
8058,8058.T,三菱商事
8306,8306.T,三菱UFJフィナンシャル・グループ
8316,8316.T,三井住友フィナンシャルグループ
8411,8411.T,みずほフィナンシャルグループ
8591,8591.T,オリックス
8766,8766.T,東京海上ホールディングス
9432,9432.T,日本電信電話
9433,9433.T,KDDI
9434,9434.T,ソフトバンク
9503,9503.T,関西電力
9984,9984.T,ソフトバンクグループ
3350,3350.T,メタプラネット
3696,3696.T,セレス
3687,3687.T,フィックスターズ
5803,5803.T,フジクラ
6857,6857.T,アドバンテスト
6146,6146.T,ディスコ
6526,6526.T,ソシオネクスト
